ticker,quarter,date,prev_quarter,is_shift_event,max_z_score,sentiment_overall,lm_uncertainty,fls_hedging_count,return_1d,return_3d,return_7d,sentiment_overall_delta,sentiment_overall_zscore,lm_uncertainty_delta,lm_uncertainty_zscore,fls_hedging_count_delta,fls_hedging_count_zscore
PFE,2021-Q4,2022-02-08,2021-Q3,False,0.8018,0.2304238709004399,0.0127905546673225,4,-0.004448810559732,-0.0177949679088697,-0.0541586059351125,-0.005191,0.1748,0.000419,0.4433,2,0.8018
PFE,2022-Q2,2022-07-28,2021-Q4,True,1.6288,0.2713952256937622,0.0110904354298474,3,-0.0041405137958257,-0.0203075178523015,-0.0226736043736361,0.040971,1.6288,-0.0017,-1.3949,-1,-0.3207
PFE,2022-Q3,2022-11-01,2022-Q2,False,1.1232,0.2657121032705353,0.012292738707833,5,-0.0195791254210819,-0.0080250309475154,-0.0046638380656959,-0.005683,0.1593,0.001202,1.1232,2,0.8018
PFE,2022-Q4,2023-01-31,2022-Q3,False,1.4659,0.2084325814511469,0.0126053793657165,1,-0.0043025878782351,-0.0022646561558323,-0.0185688346250241,-0.05728,-1.4659,0.000313,0.3513,-4,-1.4432
TGT,2020-Q4,2021-03-02,2019-Q3,False,0.9588,0.3384303632634359,0.0057772599281483,0,0.0006915606812711,-0.0050724282415521,0.033604315810609,-0.079303,-0.9588,0.000465,0.0681,0,-0.378
TGT,2021-Q1,2021-05-19,2020-Q4,False,1.3139,0.3982010548091168,0.0056675648053516,2,0.0126931895319055,0.029222060060826,0.0361165518883093,0.059771,1.3139,-0.00011,-0.1916,2,0.504
TGT,2021-Q2,2021-08-18,2021-Q1,False,0.504,0.3607670785254036,0.0068779383597422,4,-0.0087649800124895,0.0199933870581754,0.0064622743705314,-0.037434,-0.2746,0.00121,0.4052,2,0.504
TGT,2021-Q3,2021-11-17,2021-Q2,True,2.1418,0.4150503432117891,0.0057246445949813,0,-0.006895110523928,-0.0363673320176779,-0.0182821302217953,0.054283,1.2242,-0.001153,-0.6634,-4,-2.1418
TGT,2021-Q4,2022-03-01,2021-Q3,False,1.301,0.3148050273680446,0.0044913010590015,2,0.0249283162475035,0.0212825359259023,-0.0211911377542462,-0.100245,-1.301,-0.001233,-0.6996,2,0.504
TGT,2022-Q1,2022-05-18,2021-Q4,True,2.0036,0.2812363739855804,0.0092372416316078,4,-0.050615740828576,-0.0477074937098919,0.0342182092156447,-0.033569,-0.2114,0.004746,2.0036,2,0.504
TGT,2022-Q2,2022-08-17,2022-Q1,False,0.9221,0.2733207520634473,0.0075117370892018,6,-0.0130602986321952,-0.0763089458097357,-0.0839511801827169,-0.007916,0.2078,-0.001726,-0.9221,2,0.504
UNH,2021-Q1,2021-04-15,2020-Q4,False,1.077,0.3053714242843232,0.0082093381221139,0,0.0025641244228631,0.0167176172517032,0.0149998465515007,0.000328,-0.014,0.001482,1.077,0,0.0
UNH,2021-Q2,2021-07-15,2021-Q1,True,1.6922,0.2622999139478273,0.0094867428849428,3,-0.0008331949932591,-0.016855223202016,-0.0154982943753226,-0.043072,-1.292,0.001277,0.9184,3,1.6922
UNH,2021-Q3,2021-10-14,2021-Q2,False,0.9316,0.2519964842125773,0.0083823529411764,3,0.018341522300568,0.0095632928624249,0.0692978476603156,-0.010303,-0.327,-0.001104,-0.9316,0,0.0
UNH,2021-Q4,2022-01-19,2021-Q3,True,1.604,0.3072652553305549,0.0078102811701221,1,0.0010378562495464,-0.0005405901460212,0.0076536296157178,0.055269,1.604,-0.000572,-0.5182,-2,-1.1282
UNH,2022-Q1,2022-04-14,2021-Q4,False,1.2513,0.2655776768967243,0.0092170895684233,0,-0.0013836092117359,0.0209232555105291,-0.0393401761752381,-0.041688,-1.2513,0.001407,1.0189,-1,-0.5641
UNH,2022-Q2,2022-07-15,2022-Q1,False,1.1282,0.2987580536037822,0.0085977234197142,2,-0.0195941645143404,-0.0194054612261949,0.0034735474459491,0.03318,0.9535,-0.000619,-0.5549,2,1.1282
UNH,2022-Q3,2022-10-14,2022-Q2,True,1.5059,0.3135106547970355,0.0067540186410914,2,0.0170522682492732,0.0140120378441113,0.0527935832035399,0.014753,0.4108,-0.001844,-1.5059,0,0.0
UNH,2022-Q4,2023-01-13,2022-Q3,False,1.1282,0.3114554337942256,0.0074880871341048,0,-0.0091714980551461,-0.0106422158859556,0.0059845998994526,-0.002055,-0.0841,0.000734,0.4964,-2,-1.1282
WMT,2022-Q1,2021-05-18,2020-Q4,False,1.1045,0.3682171926543494,0.0049887048192771,3,7.052298714782906e-05,-0.0011272524673179,-0.0015502188014283,0.064623,1.1045,-0.000522,-0.5272,1,0.0859
WMT,2022-Q2,2021-08-17,2022-Q1,False,1.4599,0.3848944880143354,0.0060910760901092,1,-0.010617316346958,0.0049767010188122,-0.0222294577362357,0.016677,0.3729,0.001102,0.794,-2,-1.4599
WMT,2022-Q4,2022-02-17,2022-Q2,False,0.746,0.3538869214083614,0.0071343638525564,1,-0.0064083642794587,-0.0275776106381074,-0.0208090020536796,-0.031008,-0.3548,0.001043,0.746,0,-0.4294
WMT,2023-Q1,2022-05-17,2022-Q4,True,1.7536,0.2343527340188421,0.0051040439733019,2,-0.0679103843994359,-0.0925011754287463,-0.0407312764471469,-0.119534,-1.7057,-0.00203,-1.7536,1,0.0859
WMT,2023-Q2,2022-08-16,2023-Q1,False,0.675,0.2151245898430627,0.0060600887674974,3,0.0010763425325609,-0.0168615859826688,-0.025113031386299,-0.019228,-0.1751,0.000956,0.675,1,0.0859
WMT,2023-Q3,2022-11-15,2023-Q2,True,1.6316,0.2570587892011909,0.0062668639568282,7,0.0071895471942488,0.0189231130151437,0.0381852074066378,0.041934,0.7583,0.000207,0.0657,4,1.6316
XOM,2021-Q1,2021-04-30,2020-Q4,True,1.7287,0.3034361150578759,0.0057908070937386,4,0.027602912330948,0.0651641555940075,0.0585253221148252,0.026868,0.6871,-0.000735,-0.3958,3,1.7287
XOM,2021-Q2,2021-07-30,2021-Q1,True,1.5904,0.3256452826735301,0.0058004640371229,1,0.0001737000418588,-0.0126801030556969,0.01059586075015,0.022209,0.5673,1e-05,0.0331,-3,-1.5904
XOM,2021-Q3,2021-10-29,2021-Q2,False,1.1931,0.2793935441182467,0.0058565153733528,1,0.0179929423997622,-0.0083758557597732,0.0293161909554284,-0.046252,-1.1931,5.6e-05,0.0598,0,0.0691
XOM,2021-Q4,2022-02-01,2021-Q3,False,1.3495,0.3024702112033831,0.0034650785056848,0,-0.0025980685448943,0.007175409273556,-0.0213117847631307,0.023077,0.5896,-0.002391,-1.3495,-1,-0.484
XOM,2022-Q1,2022-04-29,2021-Q4,True,1.8312,0.2449649262215951,0.0065974343310934,1,0.0136070120886286,0.0756599457863986,-0.0026979447082067,-0.057505,-1.4825,0.003132,1.8312,1,0.6223
XOM,2022-Q2,2022-07-29,2022-Q1,False,0.6223,0.2479013355341151,0.0061654948620876,2,-0.0252759279261235,-0.0609718456949521,-0.0654081515868985,0.002936,0.0717,-0.000432,-0.2212,1,0.6223
XOM,2022-Q3,2022-10-28,2022-Q2,False,0.9196,0.2244899600540638,0.0077147623019182,1,0.0009937963135482,-0.0098463915160485,0.029810245150639,-0.023411,-0.6058,0.001549,0.9196,-1,-0.484
XOM,2022-Q4,2023-01-31,2022-Q3,False,1.3658,0.2777537020349315,0.0061437191442676,0,-0.0109473768888008,-0.0352555857113066,-0.0143090536271884,0.053264,1.3658,-0.001571,-0.8771,-1,-0.484
